line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English,isused
731, para,49, to, PU, Prométeme que vas a utilizar todos tus esfuerzos para el divorcio., Promise me you will attempt everything in order to get a divorce.,x
732, por,14, for,CA, Daría mi vida por tu amor pero no puedo ser su asesina., I would give up my life for love of you but his murderer I cannot be.,x
733, para,19, for,PE, Ahora entiendo que para ti el amor es un tormento..., Our love was nothing but a whim for you yet to me it meant my whole life.,x
734, para,57, to, PU, El notario notifica a Lena las deudas de su marido y que para pagarlas tendría que vender sus posesiones., The accountant notified Margrit of her husband's debts and that to pay those all her possessions would have to be sold.,x
735, para,38,?,?, Por Lena que ahora está en la pobreza para proporcionarle un medio de vida busca su antiguo amigo Kruger un cabaret cuyo propietario es un conocido suyo., Margrit's old pal Kruger forwards Margrit now impoverished to an acquaintance's cabaret so she can provide herself the means to live.,
736, por,31,at, IT, ...los espero a los dos mañana por la mañana en el ensayo..., I'll be expecting the both of you at tomorrow morning's rehearsal.,x
737, para,19,for,PU, Lena es contratada para canciones con acompañamiento de arpa., Margrit is engaged for songs accompanied by harp.,x
738, para,43,DISTRANS, PU, Knud el hermano de Frits llega a la ciudad para hacer compras., Knud Arvid's brother travels to the city for his purchases.,x
739, por,71, to,CA, Knud y sus amigos de negocios acuden al cabaret que se ha hecho famoso por Lena., Knud and his business friends visit the cabaret now famous thanks to Margrit.,x
741, por,28, for,IN, ¿Ya sabe señor que le toman por tonto?, Are you aware Sir that you have been played for a fool?,x
742, para,46,DISTRANS, PU, Mañana se cumplirá nuestro deseo todo está preparado para la huida., Tomorrow our desire will be fulfilled the escape has been fully prepared.,x
743,por,0,twice,IT, ¡ Por dos veces ha rechazado el Gobernador blanco tu petición de más tierras para tu tribu oh Jefe!, The white Governor has twice denied your request for land for your tribe O Chief!,x
743, para,76, for,RE, ¡ Por dos veces ha rechazado el Gobernador blanco tu petición de más tierras para tu tribu oh Jefe!, The white Governor has twice denied your request for land for your tribe O Chief!,x
744, por,32,for,IT, ¿Qué va a suceder si la rechaza por tercera vez?, What will happen if he denies it a third time?,x
745, para,125, to,RE, Llegará el momento en que yo tu padre esté camino del más allá y tú mi hijo le demostrarás al gran Jefe Blanco que África es para nuestra raza negra., The time will come when I your father will take the long road to the other side and you my son will prove to the great white Chief that Africa belongs to our black race.,x
746, para,62, for, PU, Durante muchos meses Ushakapilla ha estado acumulando tesoros para comprar armas y munición para la revuelta que planea., For many months Ushakapilla has been hoarding booty to buy weapons and ammunition for the planned uprising.,x
747, por,30,in,IS, Durante dos días Winters erró por el desierto de Karoo sin agua ni alimentos., For two days Winters wanders in the Karoo Desert without water or food.,x
748, por,28, for,CA, yasídecidióLordCholmondeley por amor a esa mujer dejar su gran fortuna y su enorme herencia puesto que nunca habría permitido que de sus labios saliera una palabra contra una mujer., ...and Lord Cholmondeley decided to leave his vast property and immense inheritance for the love of this woman for he would never allow words of disrespect for any woman to pass his lips.,x
749, para,73, to, PU, Tras su llegada a África alquiló el Lord inmediatamente un tren especial para dirigirse a Rhodesia..., Arriving in Africa the noble lord immediately hired a special train to get to Rhodesia...,x
750, por,63,NONE,CA, Winters sabe que todas las estaciones están vigiladas y decide por ello intentar salvarse en la pequeña estación del desierto Green Willow., Knowing that all stations are being watched Winters decides to try his luck at the little station in the desert called Green Willow.,x
751, por,21,NONE,IN, Aquí todos lo tienen por loco., Everyone here thinks he's crazy.,x
752, para,102,in order that, PU, Al llegar a Rhodesia Lord Cholmondeley se dirigió al único hotel del pequeño poblado de Seijaduntella para que el mundo se olvidara de él., Arriving in Rhodesia Lord Cholmondeley checked into the only hotel in the little settlement of Seijaduntella in order that the world might forget him utterly.,x
753, para,29,ERR, PU, Ya te encontraré algún sitio para que duermas., Ich werde schon irgend eine Schlafstelle fur Dich finden.,x
754, para,17,DISTRANS, PU, Buscando venados para la mesa de su padre, Looking for game to put on her father's table,x
755, para,35, to, PU, Con alegría daré mi consentimiento para que estudiéis con mi amigo blanco., I will gladly allow you to study under my white friend.,x
756, por,52, for,IT, El día que cumple veinticinco años Mofti es llevado por primera vez a la piedra de sacrificios de sus antepasados., On his twenty-first birthday Mofti is taken for the first time to his ancestors' sacrificial rock.,x
757, para,29,NONE,CA, Voy a buscar a mi amigo Jack para que no lo destrocen los leones., I will fetch my friend Jack lest he be torn apart by lions.,x
758, por,41,by,CA, Las ideas de Mofti habían sido mejoradas por el cristianismo y lleva a su amigo Jack a enseñarle la piedra de sacrificios., His ideas purified by Christianity Mofti shows his friend Jack the sacrificial rock.,x
759, por,24,along,IS, Ya no podré guiarte más por los senderos de caza., I can no longer lead you along hunting paths.,x
760, para,17, to,RE, Saludos oh amigo para ti y tu pequeña Rosa blanca., Greetings O friend to you and your little White Rose.,x
761, por,69,with,CA, ¿Y quién podrá afirmar que este corazón negro no está tan destrozado por el dolor como el de cualquier otro padre?, And who could deny that this black man's heart is torn apart with pain just like that of any father?,x
762, para,82,ERR,RE, Yace aquí bajo las piedras donde me traía de cacería. Sus últimas palabras fueron para ti, He lies there beneath the rocks where he had led me on the hunt.,x
763, por,91,ERR,?, En Japón Yukio hijo del almirante estadounidense Milton y de la japonesa Saki San descubre por medio del viejo Chizo que el almirante fue responsable del suicidio de su madre., Yukio son of the American admiral Milton and the Japanese Saki San is raised in Japan by the old Chizo who tells him that the admiral was responsible for the suicide of his mother. Yukio vows to take revenge.,
765, por,52, to,AD, El juego está en pleno apogeo cuando Yukio pregunta por mister Barnes., The game is in full motion when Yukio asks to speak to mr. Barnes.,x
769, para,21, to, PU, Tal vez tenga tiempo para ayudarte en tus clases de inglés., Maybe I will find the time to help you with your language lessons.,x
770, para,28, for,RE, Gestionando nuestro trabajo para la Cruz Roja con la señora Smith., I have taken care of our work for the Red Cross with mrs. Smith.,x
771, por,41,in,TO, La verdadera razón del interés de Barnes por el joven Yukio durante su visita al almirante., The true reason for Barnes' interest in the young Yukio during his visit to the admiral.,x
772, para,23,to, PU, ¡Ha venido desde Japón para matarte!, He has come here all the way from Japan to kill you.,x
773, por,28, for,IN, Pero creo que puedo digamos por cinco mil dólares hallar la forma de mandarlo de nuevo a Japón., But I believe that I can let's say for 5000 dollar find the way to send him back to Japan.,x
774, para,123, to,PE, Con la ayuda de Elsa Yukio hace grandes progresos con el idioma. Pero las costumbres de aquel mundo nuevo aún son extrañas para él., Yukio with the help of Elsa is making good progress in the language ...but the manners of the outgoing world are still very strange to him.,x
775, por,13,by,AT, Interpretada por Mary Anderson., Interpreted by Mary Anderson.,x
776, por,20,NONE,IT, Así... hasta mañana por la noche., ... yes until tomorrow evening.,x
777, para,23,for,PE, Ese papel no vale nada para ti., This paper has no value for you at all...,x
779, para,89,DISTRANS, PU, Sí fui un estúpido pero ahora ya sé quién eres. ¡Tendré ese papel aunque deba aplastarte para conseguirlo!, Yes I was a fool. But I've found out who and what you are ...and I will have the paper even if I have to crush you for it!,x
780, para,15, to, PU, Vine a América para vengar a mi madre... ¡no para convertirme en un ladrón!, I've come to Amerika to avenge my mother... not to become a thief!,x
781, por,51, for,CA, De ahora en adelante mi mayor deseo es dar la vida por la gloria de tu país. ¡De NUESTRO país!, My dearest wish from now on is to give my life for the glory of your country OUR COUNTRY!,x
782, por,24, for,CA, Dispuesto a dar mi vida por las barras y estrellas de tu país. ¡De NUESTRO país!," I am willing to give my life for the Stars and Stripes- your country-OUR COUNTRY!"" The End.",x
783, por,9,DISTRANS,AMBIG, ¡Esto va por ti Maria!, That means you of course Maria!,x
784, por,58,NONE,IS, Maria tira las flores de ese extraño. Sabes que te quiero por encima de todas las cosas., Maria throw the flowers from that stranger away you know I love you more than anything.,x
785, por,30,by,CA, Cuando tuve que quedarme aquí por la enfermedad de Gunne mientras el Circo Panelli se iba de tournée nos casamos fuera., When you were forced to stay here by Gunne's illness while the circus Panelli was on tour we got married on the way.,x
787, por,8,please, POR FAVOR, Póngame por favor con el director., Please call the director to the telephone.,x
788, por,19,for,CA, Quiero comprobarlo por mí misma., I want to see for myself in order to be convinced.,x
789, para,24,at,PU, La srta. Lina le espera para una partida de crocket., Ms. Lina expects you at her croquet game.,x
790, por,62,ERR,CA, El inspector jefe Müller se deja llevar en un súbito arrebato por sus sentimientos apasionados., Chief Inspector Muller feels a sudden strong passion for Helene. Chief Inspector Muller feels a sudden strong passion for Helene.,x
792, para,88,that, PU, El padre del príncipe Kossotski coronel retirado de la guardia antes de su muerte testa para que su hijo se incorpore al ejército., The father of Prince Kossotski colonel of the guard in retirement had pronounced as he lay dying his wish that his son follow a career in the army.,x
793, por,41, for,CA, En el regimiento Kossotski se distinguía por sus brillantes facultades e infinito orgullo., Kossotski distinguished himself at the Academy for his brilliant skills and infinite pride.,x
794, por,45, for,CA, Y habría sido un cadete ejemplar si no fuera por sus cambios violentos de humor., And would have been an outstanding cadet if not for his violent temper.,x
795, por,58,DISTRANS,AT, La condesa Korotbova una de las damas de honor preferidas por la emperatriz demostraba al principio mucha frialdad con él., Countess Korotbova one of the Empress' favorite maids of honor was at first very cold towards him.,x
796, por,54,everything,TO, Entrando en el monasterio Kossotski muestra desprecio por todo lo que parece importar a los demás., By entering the monastery Kossotski showed he despised everything that seemed important to others.,x
797, para,13, to, PU, Me desnudaré para secarme., I must undress to dry myself ...,x
798, por,8,during,IT, No sale por el día... teme la luz., She doesn't go out during the day... she's afraid of the light.,x
799, por,29,in, IS, ¿...y tú casualmente pasabas por allí?, ... And then you just happened to drop in?,x
800, para,27,to, PU, He hipotecado nuestra casa para comprar una mina de cobre., I've mortgaged our home to buy a copper mine.,x
801, para,36, to, PU, Pero ahora mismo necesito un millón para ponerla en marcha., But right now I need a million to get it going.,x
802, por,11,in,ADV, Si no le importa señor nos gustaría recibir nuestro salario por adelantado., If you don't mind sir we'd like to have our wages in advance. There are certain rumors...,x
803, para,16, to, PU, Demasiado bella para ser una sirvienta., Much too beautiful to be a maid.,x
804, para,30, to, PU, Usted está casada y yo podría para ser su padre., You are married and I'm old enough to be your father.,x
805, por,45,DISTRANS,?, El Sr. Bradford era un hombre muy excéntrico por así decirlo., Mr. Bradford was a very eccentric man... to say the least.,x
806, para,33,for,RE, Tráigame esos papeles que guardó para mí., Get me the papers that you put away for me.,x
807, para,20,for, PU, Si se me hace tarde para coger un tren normalmente suelo coger el especial., If I'm late for my train I usually charter a special.,x
808, por,32, for,CA, Nunca olvidaré lo que has hecho por nosotros hoy., I will never forget what you have done for us today.,x
809, para,50, for,PE, Sin embargo esta noche loca ha sido satisfactoria para mí en un sentido. Digamos que..., However this crazy night has been satisfactory in one way for me namely...,x
810, para,19,so, PU, Me llevaré tu ropa para que no escapes., I'll take your clothes with me so I know you won't run away.,x
811, por,15, for,POR DIOS, No se lo digas por amor de Dios., Don't tell him for heaven's sake.,x
812, por,4,out of,IS, Sal por la ventana., Just climb out of the window.,x
813, por,37,out of,IS, Si entras en esta habitación me tiro por la ventana., If you enter this room I'll throw myself out of the window.,x
814, por,66,otherwise,TO, Lo más probable es que él haya perdido ese millón de dólares pero por lo demás todo bien., Most likely he's lost the million dollars... but otherwise there's nothing wrong.,x
815, para,27, for,DE, Finalicemos el trato salgo para Montana ya mismo., Let's get the envelope ready. I'm leaving for Montana now.,x
816, por,9,by,AT, Dirigida por Márton Garas., Directed by: Marton Garas Made in 1918 by Hungaria Filmgyar.,x
817, por,9, for,IT, - Me iré por un par de días., I'll go away for a couple of days.,x
818, para,79, to, PU, Anna Karenina se encuentra con la condesa Vronskaya en la estación quien viaja para ver a su hijo en Moscú., Anna Karenina meets Countess Vronskaya at the station who is travelling to see her son in Moscow.,x
819, por,56,by,ME, - - Ese ferroviario que se llevaban ha sido atropellado por el tren., That railwayman who was just taken away had been hit by the train.,x
820, por,37,in, IT, Debo tomar el tren a San Petersburgo por la mañana., I must go take the train to St. Petersburg in the morning.,x
822, para,6, for,PE, Ahora para mí eres el único., You are the only one for me now... Don't ever forget that!,x
823, por,57,by,AT, No tengo derecho a romper una familia que fue sancionada por un poder superior., I have no right to break up a family which was sanctioned by a higher power. I'll be waiting for you to cool down.,x
824, para,64,ERR, PU, - Me temo que si me enfrento a él no tendré fuerzas suficientes para insistir en el divorcio. -, I'm afraid that if I face him,x
825, por,16,by,CA, - Soy tu esposo por ley; por lo tanto es mi deber pensar en nuestro destino y decidir sobre nuestro futuro y lo que es mejor para nosotros., I am your husband by law therefore it is my duty to think about our fate and to decide about our future and what is best for us...,x
825, por,,therefore,CA, - Soy tu esposo por ley; por lo tanto es mi deber pensar en nuestro destino y decidir sobre nuestro futuro y lo que es mejor para nosotros., I am your husband by law therefore it is my duty to think about our fate and to decide about our future and what is best for us...,x
825, para,121,for,RE, - Soy tu esposo por ley; por lo tanto es mi deber pensar en nuestro destino y decidir sobre nuestro futuro y lo que es mejor para nosotros., I am your husband by law therefore it is my duty to think about our fate and to decide about our future and what is best for us...,x
826, por,80, for,IT, Como todavía estoy enamorado de ti no puedo dejarte ir sin intentar convencerte por última vez., Since I am still in love with you I cannot let you go without trying to convince you for the last time. You must understand this.,x
827, por,79,by,AT, - A menudo en mis sueños puedo ver a ese pobre ferroviario que fue atropellado por el tren durante mi visita a Moscú., Often in my dreams I can see that wretched railwayman who was hit by the train during my visit to Moscow. He just looks at me with a distorted smile and whispers:,x
828, para,69,DISTRANS, PU, Como Anna Karenina no puede recuperar su libertad envía a su hermano para que hable con Karenin., Since Anna Karenina could not regain her freedom she sends her brother to Karenin.,x
829, para,32,so, PU, Te pido Karenin que me perdones para que pueda morir con tranquilidad., I am asking you Karenin to forgive me so that I can die with peace of mind. Anna,x
830, para,16, to, PU, Sólo estoy aquí para cumplir el último deseo de Anna., I am only here to fulfill Anna's final wish.,x
831, por,26,ERR, POR FAVOR, ¿Qué te pasa? ¡Ven a casa por favor!, What's wrong with you?,x
832, por,23, for,CA, Voy a ver a mi madre a por algo de dinero., I will travel to my mother for some money.,x
833, para,27, to,PE, ¿No sigo significando algo para ti?, ... Don't I at least still mean something to you?,x
834, para,28, to,PE, ¿O sólo soy una mujer caída para ti una carga de algún tipo?, Or am I just a fallen woman to you a burden of some sort?,x
835, por,44, for,CA, Viniste tan de repente que debo disculparme por no poder saludarte., You came so suddenly that I must apologize for being unable to greet you.,x
836, por,15,by,CA, Estoy retenido por un viaje al campo previamente planificado en compañía de la princesa Sorokina y su sobrina., I am withheld by a previously planned field-trip in the company of Princess Sorokina and her niece.,x
837, para,47, for, PU, En 1921 se modificó mucho el negativo original para la versión americana GIPSY BLOOD., In 1921 the original negative was heavily altered for the American version of the film Gypsy Blood.,x
838, para,8, for, PU, La base para la restauración digital de la Fundación Friedrich-Wilhelm-Murnau en 2018 fue un duplicado incompleto del archivo en blanco y negro del Archivo Estatal de Cine de la RDA., The basis for the digital restoration of the Friedrich Wilhelm Murnau Foundation in 2018 was an incomplete black-and-white archive duplicate from the former holdings of the State Film Archive of the GDR.,x
839, para,131, for,PU, Otro duplicado acortado en blanco y negro de la copia occidental de los años 70 con intertítulos en alemán sirvió como complemento para las escenas modificadas o que faltaban., Another shortened black-and-white duplicate of Western production from the 1970s with German intertitles served as a supplement for changed or missing shots.,x
840, para,8, for,PU, La base para los virados en la película en blanco y negro fueron los fragmentos del nitrato., The nitrate film fragments served as the basis for the black and white materials.,x
841, para,34, for, PU, Éstos también sirvieron como base para el esquema de color que sin embargo sigue siendo en gran medida especulativo., These also served as the basis for the colour plan which however remains largely speculative.,x
842, por,76,by,AT, Drama en seis actos versión libre de Prosper Mérimée adaptado a la pantalla por Hanns Kräly., Drama in 6 acts freely adapted for the screen by Hanns Kräly from Prosper Merrimé,x
843, por,37,hereby,ME, Al dragón José Navarro se le informa por la presente de que ha sido promovido a sargento., - DON PHILIPPO To the Dragoon José Navarro. The Dragoon José Navarro is hereby notified that he has been promoted to sergeant.,x
844, por,19, for,IT, José va de guardia por primera vez como sargento en Sevilla., José is on guard duty for the first time as a Sergeant in Seville.,x
845, por,64, that,AT, Que el diablo le crea que un tipo tan fuerte se deje atropellar por una chica así. , The devil believe you that such a strapping fellow could let himself be run around by a girl.,x
846, para,55,to, PU, Perdona tengo que dejarte sola un momento hermosa niña para controlar a los presos. , Excuse me I have to leave you alone for a moment beautiful child to check on the prisoners.,x
847, para,51, for, PU, Ve al barrio gitano y consigue una buena bailarina para la fiesta. , Go to the gypsy quarter and arrange a good dancer for the feast.,x
848, por,38,by,ME, De acuerdo seréis recogida esta noche por un carruaje del coronel. , It's agreed you will be collected this evening by the Colonels carriage.,x
849, por,55, for,IT, Tras el cumplimiento de su condena José vuelve a estar por primera vez en su puesto., Having served his sentence José is back at his post for the first time.,x
850, por,49, to,IS, Carmen tiene que enseñarnos esta noche el camino por el que llegar a la ciudad sin ser vistos con las mercancías. , Carmen has to show us the way to get into the city with the goods tonight without being seen.,x
851, por,75,tonight,IT, No puedo quedarme esta noche tengo guardia junto a la grieta de la muralla por ahí toda clase de gentuza pasa de contrabando sus mercancías., I can't stay I have to stand guard at the postern tonight... all sorts of rabble are smuggling goods through there.,x
852, para,20, to,PE, Eres un tesoro fiel para mí te acortas el tiempo de una novia. , What a loyal sweetheart you are to me whiling away the time with a young girl.,x
853, por,49,before,AD, Sí sí amigo mío el perrito bueno tiene que darse por vencido!, Yes yes my friend the good little doggie must beg before his master!,x
854, por,16,about,TO, No te preocupes por tu futuro los contrabandistas te acogerán alegremente. ,Don't worry about your future the smugglers will gladly take you in.,x
855, para,18, for,RE, ¡Ese oficio no es para mí!, This profession is no good for me!,x
856, para,11,DISTRANS, PU, Hemos de separarnos tengo que ir a Gibraltar para explorar buenas oportunidades. , We have to part I must go to Gibraltar seek out some good opportunities.,x
857, por,36, for,CA, ¿Me hablas así cuando he abandonado por ti a mi madre y a mi prometida?, This is how you speak to me for whose sake I have left my mother and my bride?,x
858, por,15,by,AT, Estoy invitada por Escamillo a sentarme hoy en su carruaje., I have been invited by Escamillo to ride in his carriage today.,x
859, por,59,by,AT, Una copia de esta película ha sido restaurada y conservada por la Cinemateca Francesa que la había recibido de Abel Gance., A copy of this movie has been restored and preserved by the Cinémathèque Française which it received from Abel Gance.,x
860, por,13,by,AT, Interpretado por M. Severin-Mars, Performed by M. Severin-Mars,x
861, por,19,by,AT, Vestuario diseñado por Babani., Costumes designed by Babani.,x
862, por,114, for,IN, Si aún quiere dejarte la amenazaré con contar la naturaleza de vuestras relaciones. Como odia el escándalo pagará por mi silencio., If she still wants to leave you I'll threaten to tell everything about your relationship as she hates a scandal she will pay a lot for my silence.,x
863, para,46,so, PU, He enviado a casa a los sirvientes esta tarde para evitar testigos indiscretos., Struggle for Life: I sent home the servants this afternoon so we'll avoid any witnesses.,x
864, por,8, to,IN, ¿Cuánto por tu silencio?, How much to keep you quiet?,x
865, para,107,so, PU, Sabiendo que soy rico y huérfano usted y su hermano me han introducido cobardemente en su pervertido mundo para así poder explotarme pero ahora puedo ver con claridad y quiero abandonar esta degradante vida., Knowing that I'm rich and an orphan you and your brother have cowardly conceded to luring me into your perverted world so you can exploit me but I can see clearly now and want to leave this demeaning life. I'll do anything to make it happen.,x
866, para,36, to, PU, Le daré todo el dinero que necesita para empezar una nueva vida., I'll give all the money you need to start a new life.,x
867, para,19,forever, TD, - ¿Y desaparecerás para siempre de mi vida?, - And you will disappear forever from my life?,x
868, por,20,please, POR FAVOR, ¿La señorita Claire por favor?, Mlle Claire please?,x
869, por,70, because,CA, ¿Acabo de encontrarme con la felicidad y la fortuna y voy a perderlas por asuntos del pasado? Voy a casarme con Claire., I've just met with happiness and fortune why would I possibly want to give this up just because of something that happened in the past?,x
870, por,25,at, IT, Sois mis testigos Mañana por la mañana a las 9..., You are my witnesses... Tomorrow morning at 9 o'clock.,x
871, para,35,to, PU, Su criado me telefoneó esta mañana para decirme la razón de este duelo., You telephoned me this morning to tell me the reason for this duel. You do not...,x
872, por,9, for, CA, ¡Gracias por el mal que me has hecho!, Thank you for the evil you raise in me!,x
873, por,7,by,AT, Danzas por Ms., Dances by Ms. Ariane Hugon of the Opera.,x
874, por,57,by,CA, A los pies de su maestro Beethoven un músico desesperado por una traición de mujer trata de olvidar y expresar su tristeza., At the feet of his master Beethoven a musician distraught by the treason of women tries to forget and express his sadness.,x
875, para,13,DISTRANS,PU, Le escribiré para explicárselo., I'll write to you with more details.,x
876, para,35, to, PU, Mañana 2 en punto Villa Floreal preparada para partir., Tomorrow 2 o'clock Villa Floreal be ready to leave.,x
877, para,6, for,RE, No es para usted Madame es para él. ¡Retírese!, This is not for you Madame it's for him. Out of the way!,x
878, para,29, to, PU, ¿Cree que voy a dejarle vivo para que mate a mi padre en un duelo?, Do you think I can let him go alive to then go and kill my father in a duel?,x
879, para,16,ERR, PU, Eve me esperaba para el té... ha vuelto conmigo!, She has returned with me!,x
880, para,4,of a,?, Tal para cual., Two of a kind.,
881, para,12, for,PU, Una llamada para voluntarios., A call for volunteers.,x
882, por,10, for,CA, Arrestado por ayudar a los Aliados., Arrested for aiding the Allies.,x
883, para,39, to,RE, Paz en la tierra... los mejores deseos para toda la humanidad., Peace on earth -- good will to all mankind.,x
884, para,16, for, PU, Todo está listo para viajar en barco., All fixed up for the boat ride.,x
885, por,24,here, IS, Ud se ha estado pegando por aquí desde hace buén tiempo!, You have been sticking around here long enough.,x
886, por,12,by,AT, Distribuida por Scandia-film, Published by Scandia-film,x
887, por,33,here, IS, Yo recibiré a quien se abra paso por aquí., Whoever makes his way here will be saluted by me,x
888, por,42,of,ADV, A pesar de que la chica es un poco tímida por supuesto., Although the girl is a little shy of course.,x
889, para,35,for,RE, Hasta ahora la tradición en Huseby para las hijas de los granjeros ... no es compartir la alcoba matrimonial con hijos de minifundistas., As yet there is no tradition here on Huseby for farmers' daughters ...to share the marriage bed with smallholders' sons.,x
890, por,20,NONE,IT, Al siguiente sábado por la noche., The next Saturday night.,x
891, por,59,by,IS, Solo un camino lleva a la granja de verano Huseby y pasaba por la granja principal., Only one road led to the Huseby summer farm and it passed right by the main farm.,x
892, para,15, to,RE, La paz de Dios para ti también., God's peace to you too.,x
893, para,28,in that direction,PU, Aún conservo cierto talento para eso., I may still possess some talent in that direction.,x
894, por,7, for,IT, ¡Basta por hoy violinista!, Enough for today fiddler!,x
895, por,11,here, IS, ¿Qué haces por aquí arriba Aslaug?, How do you do up here Aslaug?,x
896, para,13,to,PU, Estamos aquí para asegurarnos de que el minifundista de Naesset no se acerque esta noche., We're just here to make sure that the smallholder boy from Nesset stays away from the summer farm tonight.,x
898, por,14,on,IT, Fue un sábado por la noche., It was on a Saturday evening.,x
899, para,16, to,RE, ¡La paz de Dios para ti también!, God's peace to you too!,x
900, para,57,from, PU, Noble Señor vuestro sirviente cuidó los Lugares Sagrados para que nadie los profane!, Noble Lord Your servant is guarding the Holy Shrine from the trampling of foreign feet!,x
901, por,29,myself, , Este cruel Bonze me persigue porque comprendo sus oscuras intenciones... pero le preguntaré a Buda por mí mismo..., That awful Bonze persecutes me because I have perceived his unclean purposes... but I will pray to Buddha myself...,
902, por,8,about,TO, Gracias por tu mensaje por Daimyo que con las doctrinas extranjeras quiere levantar al pueblo contra Mikado., Thanks You for Your message about the traitorous Daimyo who with foreign doctrines wants to incite the people against the sanctified person of the Mikado.,x
903, por,24, for,CA, Buda castigó a tu padre por sus pecados., Your father was punished for your sins by Buddha.,x
904, para,39, per, PU, Oh Take-San sería una excelente geisha para el dueño de la casa de té., O-Take-San would be a very good Geisha for the keeper of the Teahouse.,x
907, por,5,NONE,CA, Vine por mi herencia..., I went to collect my inheritance...,x
908, por,51,by,CA," Esta es la espada que mi padre usó para suicidarse por orden del Mikado""!", This is the sword with which my father killed himself by order of the Mikado!,x
908, para,35,with, PU," Esta es la espada que mi padre usó para suicidarse por orden del Mikado""!", This is the sword with which my father killed himself by order of the Mikado!,x
909, para,29, to, PU," ...y si ella no tiene dinero para comprar su libertad""! ..."," ...and if she has no money to buy herself free!""...",x
910, por,92, for,FE, La criatura se lo tomó en serio y te esperó todos estos años con su hija llena de nostalgia por tí..., The poor creature has taken the affair very seriously and has been waiting all these years with her child in tender longing for you...,x
911, por,19, for,IT, El extranjero pagó por tres años Oh Take-San vivió conmigo cuatro años y si no paga la renta debe dejar la casa., That stranger paid for three years O-Take-San has been living here with me for four years now and if does not pay the rent she must leave this house immediately.,x
912, para,40, for, PU, Ven Hanake decoremos la casa con flores para recibirlo!, Come Hanake let us decorate the house with flowers for the reception!,x
913, para,17,to, PU, Iré al consulado para que me informen!, I'm going to the consulate to ask for him!,x
914, por,14, for,POR DIOS, Olaf Anderson por el amor de Dios!, Olaf Anderson help for godsake!,x
915, por,43,by,AT, Decorados y vestuario creado y supervisado por Axel Esbensen, Sets and wardrove created and supervised by Axel Esbensen Chief engineer:,x
916, por,23,by,AT, Mats Lindberg Dirigida por Mauritz Stiller Una producción de Svensk Filmindustri, Directed by Mauritz Stiller a production of Svensk Filmindustri,x
918, por,89,past,IS," Querido amigo ¿qué tienes en contra de Solberga? ""¿Acaso no nos hemos acercado más veces por la casa del párroco a visitar a Sir Arne?", Dear dog what do you have against Solberga? Have we not many times swung past the vicarage to pay visit to Sir Arne?,x
920, para,84, to, PU, Bastante después de medianoche unos pocos hombres salieron de la posada de Branehög para ensillar sus caballos y volver a casa., Long after mignight a few men left the inn at Branehög in order to saddle their horses and return home.,x
921, por,52,by,AT, Anoche Sir Arne y toda su familia fueron asesinados por tres hombres... que entraron en la casa por la chimenea... iban vestidos con andrajos., Last night Sir Arne and his entire household were murdered by three men... who entered the house though the smoke-hole in the roof.. men dressed in rough hides.,x
922, por,70,by,AT, La pobre doncella la única superviviente de la carnicería fue llevada por Torarin a vivir con él y su madre a su casa., The impoverished young maid the sole survivor of the bloodbath was taken by Torarin to come live with him and his mother in their cottage.,x
923, por,146,by,CA, La casa de Torarin estaba situada en el punto más alto de la isla y todos los mercenarios escoceses marineros y pescadores atrapados en Marstrand por el hielo solían pasar cerca de ella cuando iban a ver, Torarin's cottage was situated at the highest point of the island -- -- and all the Scottish mercenaries mariners and fishermen locked in by the ice at Marstrand used to pass by his cottage on their way to see if the sea had begun to cast off its blanket of ice.,x
924, por,33, to, , Observaba lo agraciados que eran por hacer algo., She would ponder how blessed they were to have something to look forward to.,
925, para,36,so, PU, No soy lo suficientemente rica como para alimentarte y vestirte Elsalill... para que puedas estar sin hacer nada y sigas alimentando tu dolor., I am not wealthy enough Elsalill to feed and clothe you-- so that you may remain idle and nurture your grief.,x
926, para,24,so, PU, ¡Espero que estén vivos para poder arrancarles el corazón del pecho!, I hope they are alive so I may rip their hearts from their chests!,x
927, para,24,so, PU, ¡Espero que estén vivos para poder verlos destrozados y descuartizados!, I hope they are alive so I may see them drawn and quartered!,x
928, para,16, to, PU, No hemos venido para asustarla sino a pedirle que comparta su relato con nosotros., We did not come to frighten you good maiden but to ask you to share your tale with us.,x
929, para,20, to, PU, Vinimos a Marstrand para reservar pasaje hacia Escocia pero todos los fiordos y los estrechos están helados., We came to Marstrand to book passage to Scotland but all the fjords and sounds are frozen.,x
930, para,52,to, PU, ¡Muéstrale al caballero que no careces de educación para responderle adecuadamente Elsalill!, Show the gentleman you do not lack the breeding to respond properly Elsalill!,x
931, para,8, to,PU, Naciste para pertenecer a la clase alta y no eres una humilde vendedora de pescado., You were born to a higher station and are not a lowly fish wench.,x
932, para,71, to, PU, Después de ese día Sir Archie iría con frecuencia a la casa de Torarin para hablar con Elsalill., After that day Sir Archie often ventured to Torarin's cottage to speak to Elsalill.,x
933, por,21,DISTRANS, POR DIOS, ¡Me has sido enviada por Dios Elsalill!, God himself has sent you to me Elsalill!,x
934, por,56,around,IS, De ese misma manera el pelo de mi hermana fue retorcido por las manos de su asesino., In this very same manner the hair of my foster sister was twisted around the hand of her killer.,x
