line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English
3934, para,51, to,PE, Había hecho una locura pero aquella mujer era todo para él..., He had done crazy but that woman was everything to him...
4045, para,12, for,PE, El sol sale para todos:, The sun shines for everyone:
4084, para,60, for,PE, Puede quedarse donde le corresponde si es lo bastante bueno para ella., She can stay where she belongs-- if that is god enough for her.
4117, para,57, ?,PE, Después del Estado de Colorado vino el Estado de Asombro para Ella., After the state of Colorado came the State of Amazement.
4141, para,24, ?,PE, ¡Tus deseos son órdenes para mí!, Whatever you wish I must grant!
4146, para,43, for,PE, Disculpad: ¡mi estómago es demasiado débil para una bebida tan ardiente!, Pardon: my stomach is too weak for such a fiery drink!
4151, para,24, ?,PE, ¡Tus deseos son órdenes para mí!, What you wish I must grant!
4162, para,73, for,PE," Chicos si este tipo sermonea como pega... va a ser una temporada difícil para Satán""."," Fellers if this guy can preach like he can hit it's gonna be a tough season for ""Satan""!"
4189, para,36, to,PE, ¿Por qué es la naturaleza tan bella para nosotros?, Why is nature so beautiful to us?
4214, para,58, for,PE, – Después de la cama del boyardo una alfombra es muy dura para ti ¿eh?, – After the boyar's bed a floor mat's too hard for thee eh?
4246, para,25, to,PE, Os juro que este niño es para mí como un hermano., I swear to you that this child is as a brother to me.
4277, para,25, for,PE, ¡Él sabe lo que es mejor para ti!, He knows what is best for you!
4320, para,91, for,PE, - Madrecita no pierda tiempo mándele a hacer un ataúd de pino pues de roble sería muy caro para él., – You had better lose no time my good woman order him now a deal coffin - an oak one will be too dear for him.
4418, para,29, to,PE, - - Mi hijo ama al niño pero para Adolat no es querido., – My son loves the child but to Adolat he's not dear.
4458, para,40, ?,PE, Si el honor de la familia no es valioso para ti ¡para mí sí!, I was only thinking -
4490, para,44, to,PE, Los cantos de alabanza de unos eran ofensas para los otros., The task was too great.
4551, para,4, to,PE, - - Para mayor humillación de la emperatriz el emperador propone un brindis por la condesa Vorontzoff., May Your Majesty deign to sign...
4576, para,50, ?,PE, Si no ganamos.... ...el remo será cosa del pasado para Clayton., Please leave!
4580, para,57, ?,PE, Cómo canta una chica guapa esta Clarissa ¡no estaría mal para Usted!, What do you want ... when you are old you will not find work.
4623, para,11, for,PE, ¡Qué broma para Waltham! Yo le dije que era tu bebé!, I'm leaving town for a week.
4652, para,50, ?,PE, Reinaba el hambre y la miseria; y el dinero fácil para gente poco escrupulosa., Direction:
4680, para,19, by,PE, ¿Será peligroso... para ti?, And now by a final deed of violence you have compelled it to end your career.
4682, para,28, for,PE, Por ahora todo ha terminado para él., Rolls Royce says watch for the hearse - two o'clock The gang will be in it   they'll cover the guards and spring you!
4726, para,13, per,PE, es peligroso para ella., Between the artists and the personnel I can move unnoticed and investigate the criminal.
4793, para,16, ?,PE, ¡Sería terrible para Dios que yo me pareciera a Él!, His Royal Highness himself will look after the education of the Demoiselle.
4836, para,17, for,PE, ¿Significa mucho para ti?, I better get Hymn-Book Harry - before he wrecks the place!
4838, para,32, ?,PE, ¡No sabes lo que significa esto para mí Bill!, Sure I will!
4951, para,25, ?,PE, Me temo que es demasiado para ti Gene., All right Gene.
5000, para,32, ?,PE, No creo que vaya a ser tan duro para ti., Come on let's get it over with.
76, por,86, to,ME, Él se apresura hasta la cuerda que cuelga de la punta de la nave y dejándose deslizar por la cuerda le da un impulso que causa que la nave caiga desde el borde de la Luna., He rushes to the rope which hangs from the point of the shell and letting himself slide down the rope he gives it an impetus which causes the shell to fall off the edge of the moon.
148, por,31, to,ME, Pieter se deja llevar a tierra por las olas., Pieter allows the waves to wash him ashore.
1564, por,19, ?,ME, Me caso contigo... por mi espada., I'll marry you - with my sword
1647, por,11,from,ME, Os conocía por las fotos., I knew you both from your pictures.
1675, por,36, ?,ME, Fui una chica ignorante traicionada por un falso matrimonio., That I was an ignorant girl betrayed through a mock marriage.
1676, por,32, for,ME, Un hombre para una mujer unidos por un sacramento., The one man for the one woman Between them the Sacramental bond...
1707, por,21, ?,ME, ¡Mi padre fue muerto por una espada danesa!, My father fell by a Danish sword!
19, por,30, for,IT, Ha estado sentado en ese auto por casi una hora., He's been sitting at that cart for nearly an hour.
82, por,13, ?,IT, Fue exhibida por última vez en 1928. Desde entonces fue considerada perdida., For the last time movie was presented in 1928. in USA and since than it was considered as lost.
104, por,25, for,IT, Vuelve a Verona para ver por ultima vez a su amada., Returns to Verona to see his beloved for the last time.
115, por,63, that,IT, Y había pastores en la misma región... que guardaban su rebaño por la noche., And in that same area shepherds... they guarded with their flock at night.
159, por,24, for,IT, Las jóvenes cómo vieron por primera vez el mar y quedaron encantadas. ¡Adentro ya!, The girls how they saw the sea for the first time and loved it. Onward!
231, por,22, for,IT, ESPERANZAS AMENAZADAS Por primera vez en su vida los pensamientos del joven se apartan del camino marcado para él., For the first time in his life the young man's thoughts are swerving from the path marked out for him.
343, por,138, to,IT, La esposa del juglar ha seguido las huellas del desparecido con su hijo Arpad y se ha quedado a vivir en el pueblo donde estuvo el músico por última vez., The fiddler's wife has followed the trail of the missing man with her son Arpad and stayed to live in the village where the fiddler had last paused.
353, por,65, to,IT, Allan se prometió y se casó con Ethel Lloyd para poder completar por fin el gigantesco plan como hijo político del hombre más rico del mundo., Allan married Ethel Lloyd and as the world's richest man's son-in-law was finally able to finish the colossal plan.
378, por,13, that,IT, Y Ño Leandro por fin se resolvio de un modo encantador: tan halagueño que ya daba por hecho que era el dueño de la ciudad que pinto Bisturi., And Leandro finally made a decision in a charming way: so flattered he already assumed that he was the owner of the City that Bisturio described.
414, por,16, to,IT, Nos encontramos por fin cara a cara., At last we meet face to face.
510, por,48,finally,IT, Sí jóvenes den gracias a Dios que esta película por fin está terminada., Yes young people - and God thank you this film is finally finished.
651, por,8, ?,IT, Hermano por fin te despiertas, You are finally awake my brother.
658, por,14, that,IT, lo he buscado por tantos años él es una persona tan despreciable., I never expected that he was such a despicable person.
659, por,40, for,IT, Sé que te duele mucho será muy doloroso por un tiempo., I know that since the emotional link is broken you must be very sad for a while.
692, por,80, that,IT, Sus mejillas palidecieron y su boca emitió un sonido como una sonrisa que puede por fin liberarse., His cheeks they went white and his mouth shaped a sound like a smile that at last can break free.
707, por,32, to,IT, - Después de dos meses de lucha por fin hemos podido entrar en la ciudad y no la abandonaremos., After long months of struggle we finally entered the city... not just to abandon it!
826, por,80, for,IT, Como todavía estoy enamorado de ti no puedo dejarte ir sin intentar convencerte por última vez., Since I am still in love with you I cannot let you go without trying to convince you for the last time. You must understand this.
942, por,15, to,IT, Pero ahora que por fin nos encontramos mi corazón me dice lo que tengo que hacer... liberarme de mi tormento., But when I happened upon you just now my heart told me what I must to do -- to be released from my torment.
959, por,32, ?,IT," Estaba en la corte cuando la ví por última vez--"" (Juez..."," It was in court I saw her last --"" (Judge..."
1024, por,21, to,IT, Esperemos que no sea por mucho tiempo., Watch over her. When I return to civilian life I will take her back.
1108, por,45, for,IT," Permítame decirle que ""El Faro"" no aparecerá por última vez""."," Permit me to tell you that ""The lighthouse"" will NOT appear for the last time."
1287, por,13, to,IT, Quiero verla por última vez., I want to see her one last time.
1365, por,33,at,IT, Jane... la amo... ¿no quiere ser por fin mi esposa?, Jane I love you... won't you be my wife at last?
1464, por,14, to,IT, ¿Va a ser mía por fin?, does she now belong to me?
1654, por,63,at,IT, Cada vez son menos frecuentes sus reuniones secretas hasta que por fin..., Less and less frequent their secret meetings until at last...
1665, por,0, to,IT, Por fin el gran amor. Solo detenido por el pasado., At last the freat over- whelming love - only to be halted by the stark ghosts of her past.
1685, por,51, for,IT, ... pero una campesina enferma ha estado esperando por media hora., ... but a sick peasant woman has been waiting for half an hour.
1686, por,13, that,IT, Cuando te vi por primera vez supe que te amaría eternamente., When I first saw you I knew that I would love you endlessly.
1687, por,61, for,IT, A las seis el profesor quiere sacar al hombre ciego a la luz por primera vez desde la operación., At six o'clock the professor wants to bring the blind man out into the light for the first time since the operation.
1689, por,60, for,IT, Lily... podrías...estar...muy... triste... mañana... quizás por un día..., Lily... would you... be... very... sad... tomorrow...perhaps for a day...
1732, por,42, for,IT, Así terminó su aventura aunque esta vez y por primera vez se fue con las manos vacías., It was his way of ending an adventure empty handed for the first time.
1736, por,28, for,IT, Ofreced cobijo a un viajero por una noche., A room for the night you lend me!
1761, por,7, to,IT, Cuando por fin fue a acostarse la penetrante helada del invierno había ocupado la habitación., By the time she went to bed the chill of winter had thoroughly penetrated the room.
1810, por,20, ?,IT, ¿Cuándo lo ha visto por última vez?, When was the last time you saw him?
1867, por,13, to,IT, ...que puedo por fin hacerte otra visita en el desierto., That I can at last make another visit to you in the desert.
1974, por,30, for,IT, Antes de que te vayas de aquí por última vez te diré:, - Before you leave here for the last time I will say to you:
2054, por,0, ?,IT, Por última vez condesa ¿me seguirá por propia voluntad... o como prisionera?, For the last time Countess will you follow me of your free will -- or as a prisoner?
2162, por,9, ?,IT, Pregunto por última vez:, For the last time I ask:
2346, por,37, that,IT, Hace justo ahora seis meses que supe por última vez de Ken., It's now already six months ago that I last heared from Ken.
2513, por,20, ?,IT, No pueden vivir así por siempre., You can't live this life forever.
2683, por,8, ?,IT, Maestro por última vez: créame lo presiento es oro..., Master believe me it is gold ...
2735, por,3,former,IT, ¿o por aquel a quien defiende?, Her former love... or the one she is resisting?
2742, por,86, for,IT, Su verdadero secreto su gran amor huésped en lo profundo de su corazón había brillado por fin a los ojos de su amigo., His real secret his great love locked in the recesses of his heart had shone forth at last for his friend to see.
2753, por,27, ?,IT, pues la noche me protege y por fin oso ser yo mismo., l have another voice tonight my own!
2851, por,44, to,IT, Habían pasado tres años desde que Vasil vio por última vez estas montañas este fiordo. ... Enamuel Gregers., He would have preferred to have told Vasil everything and then turn him down but people would have known and he would be associated with a scandal...
2945, por,4,finally,IT, ¡Ah por fin!, Ah finally!
3014, por,13,now,IT, Y ya empieza por fin la historia -, And now begins the story.
3050, por,21,always,IT, La rueda social gira por fin., The wheel of society is always turning.
3144, por,11, to,IT, Cómo decir por fin... Un ambiente puede ser tibio ¿es este paso?, How to say I mean... an atmosphere can be cool not true?
3147, por,7, to,IT, Quiero por fin ser un hombre libre no depender más de tus buenas gracias, I want finally to be a free man Not to depend anymore on your good thanks
3149, por,6,finally,IT, Llegó por fin el día en el que el maestro expuso su obra., finally came the day in which the Master exposed his work.
3172, por,23, to,IT, ¿No queréis saludarlos por última vez señora?, Don't you want to greet them one last time my Lady?
3397, por,3,finally,IT, Si por fin pudiera volver a bailar por una vez un viejo vals alemán. ," lf I could finally dance again for once an old German waltz ""."
3402, por,8,finally,IT, - Madre por fin he encontrado una criada., - Mother I've finally found a servant girl.
3703, por,40, ?,IT, Lléveme a casa - ¡Ya he tenido bastante por hoy!, Take me home - I've had enough of this!
3875, por,17,finally,IT, Nuestros caminos por fin se han cruzado., Our paths finally met.
4074, por,5,finally,IT, Hijo por fin estás de nuevo en casa., Now son you are finally home again.
4228, por,2,then,IT, Y por fin, And then
4301, por,35,ERR,IT, Mar Negro Y a ti Báltico congelado por el inverno, Black Sea ... and your ship frozen in the Baltic Sea by the shore
4491, por,9,ERR,IT, Mediador por fin has venido..., He will surely come!
4559, por,8, ?,IT, Venecia por fin duerme., He must be arrested!
4699, por,16, for,IT, ¡Os lo advierto por última vez!, For the love of God have respect for the factory ...!
4728, por,0, to,IT, Por fin... por fin lo encuentro., Today I have to test our friendship.
4935, por,19, ?,IT, ¡Seré su sirviente por última vez!, Yours are so strong!
4971, por,5, that,IT, Pero por la noche las sombras aparecen., You promised that we were all finished with nightclubs didn't you Eddie?
57, por,23, ?,IS, ¿Hay alguna celebridad por ahí?, Is there a celebrity out there?
60, por,32, for,IS, Siempre doy vueltas en círculos por ti, I always go round in circles for you
62, por,32, for,IS, Siempre doy vueltas en círculos por ti, I always go round in circles for you
69, por,27, ?,IS, Un marino cierra el puente por donde han pasado., A marine closes the bridge through which they have passed.
71, por,28, ?,IS, Los astrónomos ven cráteres por todos lados., The astronomers see craters everywhere.
78, por,98, ?,IS, Unos meses más tarde Molière funda con la familia Béjart el Ilustre Teatro con el que irá de gira por Francia., a few months later Jean-Baptiste Poquelin aka Molière founds with the Béjart family the Illustrious Theater and they tour the whole of France
91, por,0, to,IS, Por temor a la represalia Turca el fue por el río Sava a Srem pero... su suegro Petronije cambió de opinión y dijo que los entregaría a los Turcos si ellos no regresaban., In fear of Turkish revenge he went Over Sava river to Srem but... His stepfather Petronije changed his mind and said that he is going to give them away to Turks if they don't come back.
107, por,29, ?,IS, Napoleón avanza con tristeza por las ardientes calles de Moscú., With effort Napoleon advances through the burning streets of Moscow.
160, por,7, ?,IS, ¡Vamos por esos mundos de Dios!, Come out into the world of the gods!
163, por,5, ?,IS, Juve por detrás está Fantômas..., - Juve there underneath there is Fantômas.
935, por,54, ?,IS, Fíjate no eran más que unos rayos de sol que entraban por la ventana., Look it was but a few sunbeams shining in from the window.
1222, por,17, ?,IS, Dios nunca lleva por el mal camino., God will never lead you astray.
1696, por,17, ?,IS, Entonces susurró por los aires..., There it rushed through the air...
1728, por,17, ?,IS, Navega una barca por el río., There sails a ship over river and sea.
2481, por,19, to,IS, Es inútil ir a ver por la ventana no puedes equivocarte esa voz es la mía..., It's useless to go see through the window You can't go wrong That voice is mine ... 
2507, por,44, to,IS, Tokutaro el vendedor de dulces justo pasaba por el lugar., Tokutaro the candy boy happens to pass by.
3163, por,36,of,IS, El Sr. West es conducido en un tour por Moscú., Mr. West is taken on a tour of Moscow.
3165, por,13,through,IS, Le sacaremos por la chimenea., We'll get you out through the chimney.
3549, por,11, ?,IS," Falta algo por debajo"" dijo el hombrecillo.", Something must be missing underneath.
3857, por,7,over,IS, ¡Mirad por ahí!, Check over here!
4130, por,11, ?,IS, 700 metros por debajo de la montaña., ... 700m below the mountain.
51, por,17, for,IN, Intenté negociar por su vida pero las negociaciones se fueron de lado, I tried to bargain for her life but negotiations went sideways.
149, por,42, to,IN, Reconozco recibir la suma de 100 mil ffs. por concertar a Lady Beltham una entrevista de 15 minutos con el condenado a muerte Gurn en una casa cercana a la Prisión de la Santé., I acknowledge acceptance of hundred thousand francs to carefully handle a fifteen minute meeting of lady Beltham with the person sentenced to death Gurn in a home close to the prison of Jante.
151, por,45, for,IN, Lady Beltham había alquilado a precio de oro por una noche un departamento en frente de la prisión., Lady Beltham had rented a flat at gold price for night in front of the prison.
167, por,14, for,IN, Juve! lo tomé por Fantômas, I took you for Fantômas!
168, por,27, for,IN, -Yo también Fandor lo tomé por Fantômas!, - Me also Fandor took you for Fantômas!
366, por,22, ?,IN, Si me firma un cheque por un millón lo dejo en una isla desierta., If you sign me a cheque of one million...
385, por,54,ERR,IN, Raffaele está atormentado ya que se siente suplantado por Michele., Raffaele is troubled because Michele has replaced him.
1617, por,15, for,IN, ¡Quiero pasión por mi dinero!, I want passion for my money!
1691, por,4, to,IN, Ojo por ojo diente por diente., What you do to me I'll do to you!
1722, por,32, to,IN," La palabra ""Hamlet"" es cambiada por ""mensajeros""."," The word ""Hamlet"" is changed to ""escorts"
3151, por,35, for,IN, Ahora te proponemos 60 000 dólares por los bocetos, Now we propose to you 60000 dollars for the sketches
3337, por,17, for,IN, ¡Compre el dólar por 50000!, Buy a Dollar for 50000!
3338, por,11, for,IN, ¡Doy 55000 por el dólar!, I'll give 55000 for a Dollar!
3504, por,24, to,IN, ¡Las acciones Petrowitz por doscientos dólares!, Petrowitz fell to 200 dollars.
3537, por,7, ?,IN, Sufría por cualquier cosa., He suffered about everything.
4002, por,5, for,IN, Bono por 5 rublos de oro, Bond for 5 gold roubles
4006, por,5, for,IN, Bono por 5 rublos de oro, Bond for 5 gold roubles
4946, por,11, to,IN, Aceptarían por cinco mil dólares., She took a chance—went to New York City... and she's doing fine.
3919, para,17, ?,ERROR, Ese joven que no para de mirarnos ¿es uno de tus amigos?, That young man who keeps looking at us are you one of your friends?
138, por,27, ?,DI, Una caída a 200 kilómetros por hora., A descent of 200 kilometers by the hour.
372, por,53, ?,DI, Este filme foi telecinado a velocidade de 24 quadros por segundo o que acelera o seu movimento original., This film was telecined at a speed of 24 frames per second which accelerates it from its original motion.
373, por,36, that,DI, Na época se filmava a 16-18 quadros por segundo., At that time they filmed with 16-18 frames per second.
374, por,55, ?,DI, Este filme fue telecinado a la velocidad de 24 cuadros por segundo lo que acelera el movimiento original., This film was telecined at a speed of 24 frames per second which accelerates its original motion.
375, por,55, that,DI, Em la época se filmaba a la velocidad de 16-18 cuadros por segundo., At that time they filmed with a speed of 16-18 frames per second.
497, por,34,of,DI, Y una vez más va a agotarme el 50 por ciento del entrenamiento., If I use it one more time it will consume half of my Xiuwei.
4195, por,10,per,DI, ¡120 klm. por hora en esquís!, 75 miles per hour on skis!
4262, por,12,per,DI, Una pulgada por hora., One inch per hour.
606, para,29, ?,DE," Todos los hombres de corazón para abajo son como yo: bestias"".", - Do not suffer. Here all men are like me: beasts.
610, para,29, ?,DE, Todos los hombres de corazón para abajo son como yo: ¡bestias!, - Do not suffer. Here all men are like me: beasts.
815, para,27, for,DE, Finalicemos el trato salgo para Montana ya mismo., Let's get the envelope ready. I'm leaving for Montana now.
1213, para,53, ?,DE, En un viaje ha tenido una desgracia. Aquí lo traemos para su consuelo., His mount is well beyond repair. / We shall rest him in this chair.
1640, para,42, for,DE, Irmgard mandó buscar a la madre y al hijo para las montañas., Irmgard sent for her mother and son to the mountains.
1648, para,40, ?,DE, El vestido que Anna y su madre hicieron para las fiestas de sociedad., Anna's dress that she and her mother had made in case she should go out in Society.
3104, para,17, to,DE, Esta noche salgo para Detroit nena., I'm going to Detroit tonight Kid.
3373, para,18, via,DE, Saldrá esta noche para Evian ...donde alquilará dos habitaciones., You'll leave for Evian tonight ...where you'll order two rooms.
3378, para,35, for,DE, vendré aquí a buscarlo y saldremos para París a contárselo todo a mi padre., I'll come to find you here and we'll leave for Paris to tell my father everything.
3380, para,24, via,DE, ¡Rápido mi maleta salgo para Evian!, Quick my suitcase. I'm leaving for Evian!
3384, para,47, via,DE, Pero camino de Evian desde donde iban a partir para un bonito viaje sus amigos los barqueros les acompañaron..., But for Evian from where they were to leave on a beautiful journey their friends the boatmen went with them...
4122, para,18, for,DE, Papá mañana salgo para Hollywood., Dad I'm leaving for Hollywood tomorrow..
4434, para,35, to,DE, - - Y yo debo tomar el primer tren para Pniewy., Asking me to go and exterminate them.
4637, para,12, ?,DE, Debo partir para Varsovia., A few weeks later
4785, para,13, ?,DE, He dispuesto para su residencia el palacio de Schönhausen., 30 March 1763
1520, para,45, because,CA, Querida Gretel te espero hoy junto a la reja para un rangdevuf., Darling Gretel! I write because I want to see you.
6, por,17, for,CA, Él está luchando por obtener un punto de apoyo y ahí radica nuestra oportunidad para esperar y ver., He's scrambling for a foothold and therein lies our opportunity to wait and to watch.
9, por,31, for,CA, Un mes después fue encarcelada por traición., A month later she was jailed for treason.
16, por,3, ?,CA, Es por esto que los chinos no pueden convertir esto en un incidente internacional., That's why the Chinese can't turn this into an international incident.
17, por,6, ?,CA, Faltó por enfermedad esta mañana., Called in sick this morning.
22, por,24, for,CA, Creí que ibamos a salir por comida thai., I thought we were going out for thai.
50, por,40, ?,CA, No estaría en esta relación Si no fuera por beneficio mutuo., I wouldn't be in this relationship if there wasn't a mutual benefit.
72, por,19, to,CA, Justo cuando están por explorar una explosión arroja a los desafortunados hombres violentamente en todas direcciones., Just as they are about to explore an explosion throws the unfortunate men violently in all directions.
90, por,34, for,CA, - ¿No sabes que el Serbio mataría por su honor?, - You are threatening but how you are going to... your master and Sultans son? - Don't you know that Serb would kill anyone for his honor?
92, por,78, for,CA, En cuanto leyó una carta confidencial de Serbia lo decidió... no quería morir por otros... cuando en Serbia las batallas comenzaban., As soon as he read confidential letter form Serbia he decided... that he doesn't want to get killed for others when time for battles in Serbia is coming.
96, por,16, ?,CA, - Vengo enviado por algo urgente., - I was sent by an urgent thing.
97, por,45, for,CA, - Gracias a ustedes mi... sueño será dulce. ¡Por la gente por Serbia por la libertad!, -Thank you my dream will be sweet. For people for Serbia for freedom!
100, por,8, ?,CA, Furioso por el desafió de Romeo, Angered by the challenge of Romeo
101, por,51, for,CA, se pronuncia la pena de exilio para Romeo Montesco por infringir la ley del duelo, I pronounce the sentence of exile for Romeo Montague for breaking the law.
106, por,60, to,CA, Los habitantes que se quedaron en Moscú están aterrorizados por el incendio de la Pierre blanca., The inhabitants who stayed in Moscow are terrorised to see the white walls burn.
110, por,16, for,CA, Parada nocturna por los restos de un gran año., Stop for the night for the remains of a grand army.
120, por,43, ?,CA, Cuando tuvo doce años subieron a Jerusalén por la costumbre de la Fiesta., When he was twelve years old there (in Jerusalem) by prazininom obiiaju.
127, por,22, to,CA, Éste es mi cuerpo que por vosotros es dado., This is my body which is given to you;
128, por,94, for,CA, De igual manera después de cenar tomó la copa... Esta copa es el nuevo pacto de mi sangre que por vosotros se derrama., And also after the dinner... this glue is a new alliance with my blood that spills for you.
139, por,75, for,CA, El famoso avidor Jean Kasalewsky que cayó desde una altura de 2.000 metros por un fallo en el motor está gravemente herido en el hospital., Terrible aviationary accident. The famous aviator Jean Kasalewsky has falled down at a height of 2000 meters due to a failure of his engine. He has been taken terribly hurt and transported to the hospital for elderly.
161, por,6, for,CA, Lucha por la chica entre el dios del mar y el fauno, The struggle between the god of the sea and the Faun for the girl.
164, por,58, ?,CA, El me tiene confianza y no cree que pueda defraudarlo. Es por eso que estaré junto a él en el viaje., He has a strong crush and thinks I haven't lost my innocence.
213, por,59, to,CA, Querido amigo sabemos que te casas con la bellísima Jone y por eso te invitamos a cenar para celebrar el último día de tu libertad., Dear friend We know that tomorrow you celebrate your wedding to the beautiful Ione. So we invite you to dinner and we shall celebrate your last day of freedom. Julia.
407, por,113, for,CA, '¡Señor jefe de la policía! Hace 15 años que murió el antiguo aduanero intentando arrestar a Hornung y a su hijo por contrabando., The former customs officer died 15 years ago trying to arrest Hornung and his son for smuggling.
413, por,8, ?,CA, Agotado por el esfuerzo mental., Exhausted by the mental strain.
555, por,15, that,CA, No se preocupe por eso. ¿Qué importa que el nido sea de fango si la golondrina trae música encanto y la alegría de la primavera?, Do not worry about the house. What does it matter that the nest is mud if the swallow brings music enchantment and the joy of spring?
645, por,57, ?,CA, Me costó mucho llegar a la lista de cien piratas marinas por eso merezco a Haiji., I had a hard time getting on the list of top 100 pirates just barely worthy of Haiji.
657, por,0, for,CA, por eso te buscaba por todas partes., So I kept looking for you.
671, por,12, because,CA, Si no fuera por los dos mortales de mi casa ¿cómo podría hacer esto?, I did all these things because of my families.
722, por,3, ?,CA, ¿Y por eso se pelea usted conmigo?, And you're here squabbling with me?
869, por,70, because,CA, ¿Acabo de encontrarme con la felicidad y la fortuna y voy a perderlas por asuntos del pasado? Voy a casarme con Claire., I've just met with happiness and fortune why would I possibly want to give this up just because of something that happened in the past?
946, por,27, ?,CA, ¿Me reconociste Elsalill y por eso los mandaste detrás mía?, Did you recognize me Elsalill and set them upon me?
993, por,18, ?,CA, Ingmar se molestó por eso y se desvió por un pequeño camino del bosque., Ingmar was bothered by it and drove into a small forest path.
1023, por,46, for,CA, - ¡Deberías comparecer ante una corte marcial por eso!, You could be court-martialed for that!
1089, por,14, for,CA, Daría mi vida por ti, I would give my life for you
1219, por,34, to,CA, La vida era un infierno para mí y por eso decidí... , Life was Hell to me and I decided... 
1332, por,18, for,CA, Dios te castigará por eso., The Lord will punish you for this.
1561, por,24, because,CA, Los dos tenéis razón... porque los dos no tenéis razón y por eso tenéis que cargar ambos con los costos procesales., You are both right - because you both did wrong and therefore must share the legal costs.
1624, por,59, for,CA, Un hombre que asegura una monstruosidad acaba de preguntar por Su Excelencia y por eso vine donde usted, A man that is sure of a monstruosity just asked for your Excelency and for this I came in front
1671, por,24, ?,CA, Cada vez mas preocupado por la presencia de Anna, Moro and worried by Anna's presence...
1683, por,2,why,CA, Y por eso nunca debo verle de nuevo., And that's why I must never see you again.
1752, por,60, ?,CA, Venía de buena familia estudió en la Universidad de Uppsala por eso era algo más sabio que el resto de nosotros., He came of a good family and had studied hard at Uppsala University so he knew a bit more than the rest of us.
1824, por,99, to,CA, Padre te pido un favor. Un hombre con su esposa e hija no tienen lugar para dormir ni qué comer... Por eso preguntan por ti., Father a man with his wife and daughter who have no place to sleep and nothing to eat are asking you a favour.
2461, por,23, ?,CA, -- ¡Tendré que echarle por sinvergüenza!, - I have seen and understood.
2469, por,6, that,CA, -- ¿Y por eso ha venido hasta aquí?, Get it in your head that I will marry Nanninella whether You like it or not.
2514, por,74, ?,CA, El encanto abrasador de Tokutaro llegó al corazón de Santa y fue abrumado por un sentimiento de culpa., Tokutaro's ardent appeal reached Santa's heart and he was overwhelmed by a feeling of remorse.
2539, por,30, ?,CA, Lo que él hizo fue ultrajante por eso le devolví el golpe., What he did was outrageous so I struck him back.
2677, por,7, ?,CA, Yo iré por él., I`ll Get It For You. *
2807, por,18, for,CA, Quedáis arrestado por eso., You shall go to detention for that.
3153, por,9, for,CA, ¿Velarás por eso?, Swear that for me?
3160, por,31,over,CA, La señora West está angustiada por la partida de su marido., Mrs. West in distress over her husband's departure
3179, por,49,in,CA, Gracias Krimilda. ¡Aunque nunca estuvimos unidos por amor por fin estaremos unidos por el odio!, Thank you Kriemhild! Although we were never one in love we are at last united in hate!
3340, por,14, to,CA, Tiene razón y por eso los vamos a desterrar., He's right and that's why we're going to banish them.
3345, por,4, ?,CA, ... por eso me he traído a mi hijo., ...that'swhyIbroughtmychildwithme.
3501, por,33, for,CA, Pero en realidad no estamos aquí por eso sino para ocuparnos de la miseria de Viena., But we didn't come here for that We are here to help Vienna's misery.
3538, por,43, ?,CA, Dos hombres andaban en silencio atenazados por el hambre., Two men walked and never talked hunger gnawed their bones.
3539, por,12, ?,CA, Atormentado por el hambre, From the pangs of hunger
3684, por,18, ?,CA, Paolo renunció Es por eso que perdimos el juego, Paolo gave up that's when he started losing.
3979, por,52, to,CA, Edith es consciente de que nada en aguas peligrosas por eso intenta dedicarle más tiempo al doctor., Edith is aware that nothing in dangerous waters that's why he tries to dedicate him more time to the doctor.
4000, por,36, ?,CA, Melania Ivanovna es una buena mujer por eso ha encontrado un novio., Melania Ivanovna is a good woman so she's found herself a fiancé.
4016, por,42, ?,CA, El Señor Tartufo no quiere tantos criados por eso..., Tartuffe does not approve of so many servants and so - -
4038, por,18, ?,CA, Cada nación tiene por eso sus bailes característicos., Hence every nation has its own characteristic dances.
4091, por,36, to,CA, Necesito tu consentimiento formal y por eso he venido a hablar contigo., I need your formal consent and that is why I have come here to speak to you.
4190, por,5,that,CA, Y es por eso por lo que te amo tanto., And that's why I love you so much.
4257, por,7, because,CA, ¿Llora por un hombre?, Well then? Are you crying because of a man?
4267, por,4, because,CA, ¡Es por ti y por tu trata de mujeres por lo que están aquí!, It's because of you and your trafficking in women that they are here!
4337, por,93, ?,CA, Remordimientos preocupaciones cualquier problema hermanito nadie necesita armar un escándalo por eso., Guilts worries whatever trouble little brother ...no man need make a fuss about such garbage.
4366, por,23, to,CA, El aseo es casi divino por eso la noche del sábado precede al domingo., Cleanliness is next to Goldliness ... That's why Saturday night comes before Sunday.
4460, por,26, to,CA, Estaba un poco preocupada por eso pero por nada., Then you can come to our place again.
4505, por,62, ?,CA, La unión de Nicolas y Wassilissa indignaba a los del pueblo y por eso mancharon de brea su puerta., Anna lived happily...
4532, por,14, ?,CA, ¡Precisamente por eso he venido!, Please wait.
4775, por,15, to,CA, ...¡él se mato por su culpa!, We'll go to Vienna!
4776, por,9, ?,CA, ¡Es todo por tu culpa!, You're in a crisis...
4801, por,2, ?,CA, Y por eso el que sea uno Rey no vale uno más que los demás., I stink.
15, por,10, ?,AT, Prohibido por casi todas las naciones de la Tierra., Banned by nearly every nation on Earth.
